kid(s)	2_068_V_fcw_01.mp3	子ども
nursery	2_068_V_fcw_02.mp3	託児所
career	2_068_V_fcw_03.mp3	職業
experience	2_068_V_fcw_04.mp3	体験
yet	2_068_V_fcw_05.mp3	まだ
need	2_068_V_fcw_06.mp3	～する必要がある，～を必要とする
uh	2_068_V_fcw_07.mp3	あー，えー
run	2_068_V_fcw_08.mp3	経営する，管理する
person	2_068_V_fcw_09.mp3	人，個人
nursery school	2_070_V_fcw_01.mp3	保育園
career experience	2_070_V_fcw_02.mp3	職業体験学習
greeting(s)	2_070_V_fcw_03.mp3	挨拶
section	2_070_V_fcw_04.mp3	部門
package	2_070_V_fcw_05.mp3	（～を）包装する
put 	2_070_V_fcw_06.mp3	putの過去形
stand(s)	2_070_V_fcw_07.mp3	台
fresh	2_070_V_fcw_08.mp3	新鮮な
customer	2_070_V_fcw_09.mp3	客
banana(s)	2_070_V_fcw_10.mp3	バナナ
said	2_070_V_fcw_11.mp3	sayの過去形
could	2_072_V_fcw_01.mp3	canの過去形
greet	2_072_V_fcw_02.mp3	（～に）挨拶する
loud	2_072_V_fcw_03.mp3	大きい
voice	2_072_V_fcw_04.mp3	声
end	2_072_V_fcw_05.mp3	終わり
hard	2_072_V_fcw_06.mp3	一生懸命に
felt < feel	2_072_V_fcw_07.mp3	（～を）感じる
hope	2_072_V_fcw_08.mp3	～だとよいと思う
future	2_072_V_fcw_09.mp3	未来，将来
couldn't	2_072_V_fcw_10.mp3	could not
Gupta	2_072_V_fcw_11.mp3	グプタ〔姓〕
hear	2_077_V_fcw_01.mp3	(～を）聞く
news	2_077_V_fcw_02.mp3	ニュース
angry	2_077_V_fcw_03.mp3	怒って
missing	2_077_V_fcw_04.mp3	紛失した
lucky	2_077_V_fcw_05.mp3	運のよい
singer	2_077_V_fcw_06.mp3	歌手
culture	2_078_V_fcw_01.mp3	文化
custom(s)	2_078_V_fcw_02.mp3	慣習
similar	2_078_V_fcw_03.mp3	似た
anyone	2_078_V_fcw_04.mp3	だれか
reducing < reduce	2_078_V_fcw_05.mp3	（～を）減らす
reusing < reuse	2_078_V_fcw_06.mp3	（～を）再利用する
recycling < recycle	2_078_V_fcw_07.mp3	（～を）リサイクルする
be similar to ~	2_078_V_fcw_08.mp3	～に似ている
Elena	2_078_V_fcw_09.mp3	エレナ〔名〕
Kessler	2_078_V_fcw_10.mp3	ケスラー〔姓〕
Germany	2_078_V_fcw_11.mp3	ドイツ〔国名〕
environment	2_080_V_fcw_01.mp3	環境
toothbrush	2_080_V_fcw_02.mp3	歯ブラシ
plastic	2_080_V_fcw_03.mp3	プラスチックの，ビニールの
handle(s)	2_080_V_fcw_04.mp3	取っ手，柄
used	2_080_V_fcw_05.mp3	使用済みの
shoe(s)	2_080_V_fcw_06.mp3	靴
charities < charity	2_080_V_fcw_07.mp3	慈善団体
sell	2_080_V_fcw_08.mp3	（～を）売る
originally	2_080_V_fcw_09.mp3	もともとは
in need	2_080_V_fcw_10.mp3	必要として
hole	2_082_V_fcw_01.mp3	穴
garbage	2_082_V_fcw_02.mp3	生ごみ
thought	2_082_V_fcw_03.mp3	thinkの過去形
only	2_082_V_fcw_04.mp3	ただ～だけ
until	2_082_V_fcw_05.mp3	～まで
why	2_082_V_fcw_06.mp3	なぜ，どうして
because	2_082_V_fcw_07.mp3	～なので
sort	2_082_V_fcw_08.mp3	（～を）分類する
can(s)	2_082_V_fcw_09.mp3	缶
paper	2_082_V_fcw_10.mp3	紙
lead(s)	2_082_V_fcw_11.mp3	（～に）つながる
saving < save	2_082_V_fcw_12.mp3	（～を）節約する
resource(s)	2_082_V_fcw_13.mp3	資源
keep ~ ing	2_082_V_fcw_14.mp3	～し続ける
2020	2_082_V_fcw_15.mp3	twenty twenty
hold on	2_086_V_fcw_01.mp3	（電話を）切らないでおく
just a minute	2_086_V_fcw_02.mp3	ちょっと待って
Pat	2_086_V_fcw_03.mp3	パット〔名〕
invite(d)	2_087_V_fcw_01.mp3	（～を）招く
party	2_087_V_fcw_02.mp3	パーティー
later	2_087_V_fcw_03.mp3	後で
bye 	2_087_V_fcw_04.mp3	さようなら
borrow	2_087_V_fcw_05.mp3	（～を）借りる
lend	2_087_V_fcw_06.mp3	（～を）貸す
wrong	2_087_V_fcw_07.mp3	間違った
Why don't you ~ ?	2_087_V_fcw_08.mp3	～してはどうですか。～しませんか。
See you later.	2_087_V_fcw_09.mp3	また後でね。
You have the wrong number.	2_087_V_fcw_10.mp3	電話番号が間違っていますよ。
Ann	2_087_V_fcw_11.mp3	アン〔名〕
